URL,Marque,Modèle,Prix,Carrosserie,Etat,Sieges,Portes,Annonce ID,Garantie,Kilometrage,Annee,Puissance,Transmission,Cylindree,Carburant,CO2,Couleur originale,Type peinture,Couleur interieur,position_page
https://www.autoscout24.fr/offres/audi-a1-ii-s-tronic-7-pack-attraction-1-4-tfsi-122-cv-gara-essence-426fba83-879d-4bc4-8f0c-0b8d74e7092c,Audi A1,II S-TRONIC 7 PACK ATTRACTION 1.4 TFSI 122 cv Gara,"€ 8 990,-",Citadine,Occasion,5,5,,,117 571 km,11/2013,90 kW (122 CH),Boîte automatique,,Essence,0 g/km (mixte),,,,17
https://www.autoscout24.fr/offres/audi-a1-ii-s-tronic-7-pack-attraction-1-4-tfsi-122-cv-gara-essence-426fba83-879d-4bc4-8f0c-0b8d74e7092c,Audi A1,II S-TRONIC 7 PACK ATTRACTION 1.4 TFSI 122 cv Gara,"€ 8 990,-",Citadine,Occasion,5,5,,,117 571 km,11/2013,90 kW (122 CH),Boîte automatique,,Essence,0 g/km (mixte),,,,18
https://www.autoscout24.fr/offres/jeep-cherokee-2-8-crd-sport-diesel-02b111f7-075f-4484-a05f-6c73243b50ff,Jeep Cherokee,2.8 CRD SPORT,"€ 12 400,-",SUV/4x4/Pick-Up,Occasion,5,,14989,3 mois,110 111 km,08/2008,132 kW (179 CH),Boîte manuelle,2 777 cm³,Diesel,228 g/km (mixte),NOIR,Métallisé,Noir,19
https://www.autoscout24.fr/offres/jeep-cherokee-2-8-crd-sport-diesel-02b111f7-075f-4484-a05f-6c73243b50ff,Jeep Cherokee,2.8 CRD SPORT,"€ 12 400,-",SUV/4x4/Pick-Up,Occasion,5,,14989,3 mois,110 111 km,08/2008,132 kW (179 CH),Boîte manuelle,2 777 cm³,Diesel,228 g/km (mixte),NOIR,Métallisé,Noir,20
https://www.autoscout24.fr/offres/peugeot-208-generation-ii-1-2-75cv-style-start-stop-garantie-6-essence-blanc-7de1d6e8-ab12-40ed-b398-524d1191ec67,Peugeot 208,GENERATION-II 1.2 75CV STYLE START-STOP GARANTIE 6,"€ 8 490,-",Citadine,Occasion,5,5,,,51 460 km,03/2021,56 kW (76 CH),Boîte manuelle,,Essence,0 g/km (mixte),Blanc,,,21
https://www.autoscout24.fr/offres/peugeot-208-generation-ii-1-2-75cv-style-start-stop-garantie-6-essence-blanc-7de1d6e8-ab12-40ed-b398-524d1191ec67,Peugeot 208,GENERATION-II 1.2 75CV STYLE START-STOP GARANTIE 6,"€ 8 490,-",Citadine,Occasion,5,5,,,51 460 km,03/2021,56 kW (76 CH),Boîte manuelle,,Essence,0 g/km (mixte),Blanc,,,22
https://www.autoscout24.fr/offres/peugeot-206-urban-essence-gris-b5e35459-6070-40ba-94cf-2f4dda8f9553,Peugeot 206,Urban,"€ 1 990,-",Break,Occasion,5,5,,,124 000 km,09/2007,56 kW (76 CH),Boîte manuelle,,Essence,0 g/km (mixte),Gris,,,23
https://www.autoscout24.fr/offres/peugeot-206-urban-essence-gris-b5e35459-6070-40ba-94cf-2f4dda8f9553,Peugeot 206,Urban,"€ 1 990,-",Break,Occasion,5,5,,,124 000 km,09/2007,56 kW (76 CH),Boîte manuelle,,Essence,0 g/km (mixte),Gris,,,24
https://www.autoscout24.fr/offres/volkswagen-tiguan-2-0-tdi-150-dsg7-connect-diesel-blanc-0fc09fa9-d477-4b70-a515-3ce36f04e43a,Volkswagen Tiguan,2.0 TDI 150 DSG7 Connect,"€ 16 990,-",SUV/4x4/Pick-Up,Occasion,5,5,,,150 000 km,10/2018,110 kW (150 CH),Boîte automatique,1 968 cm³,Diesel,136 g/km (mixte),Blanc,,Noir,25
https://www.autoscout24.fr/offres/volkswagen-tiguan-2-0-tdi-150-dsg7-connect-diesel-blanc-0fc09fa9-d477-4b70-a515-3ce36f04e43a,Volkswagen Tiguan,2.0 TDI 150 DSG7 Connect,"€ 16 990,-",SUV/4x4/Pick-Up,Occasion,5,5,,,150 000 km,10/2018,110 kW (150 CH),Boîte automatique,1 968 cm³,Diesel,136 g/km (mixte),Blanc,,Noir,26
https://www.autoscout24.fr/offres/peugeot-2008-generation-i-1-2-82ch-pneus-neufs-suivi-constructe-essence-gris-4f8afbe3-dd7e-4d61-a721-05e8eeabc86c,Peugeot 2008,GENERATION-I 1.2 82ch PNEUS NEUFS SUIVI CONSTRUCTE,"€ 6 990,-",Monospace,Occasion,5,5,,,86 900 km,04/2017,61 kW (83 CH),Boîte manuelle,,Essence,0 g/km (mixte),Gris,,,27
https://www.autoscout24.fr/offres/peugeot-2008-generation-i-1-2-82ch-pneus-neufs-suivi-constructe-essence-gris-4f8afbe3-dd7e-4d61-a721-05e8eeabc86c,Peugeot 2008,GENERATION-I 1.2 82ch PNEUS NEUFS SUIVI CONSTRUCTE,"€ 6 990,-",Monospace,Occasion,5,5,,,86 900 km,04/2017,61 kW (83 CH),Boîte manuelle,,Essence,0 g/km (mixte),Gris,,,28
https://www.autoscout24.fr/offres/peugeot-308-1-2-thp-130ch-s-s-bvm6-allure-pack-1-ere-main-toit-essence-gris-ebd98521-5184-494d-84c6-e08359d4c09b,Peugeot 308,1.2 thp 130ch S&S BVM6 Allure Pack 1 ere main TOIT,"€ 8 490,-",Citadine,Occasion,5,5,,,80 514 km,05/2019,96 kW (131 CH),Boîte manuelle,,Essence,0 g/km (mixte),Gris,,,1
https://www.autoscout24.fr/offres/citroen-jumpy-9-places-1-5-l-blue-hdi-120-cv-accidente-ve-de-202-diesel-blanc-ba927986-9318-4eb3-92db-7e736bbed8b5,Citroen Jumpy,9 places 1.5 l Blue HDi 120 cv Accidenté VE de 202,"€ 11 000,-",Autres,Occasion,255,5,,,145 522 km,02/2022,89 kW (121 CH),Boîte manuelle,,Diesel,0 g/km (mixte),Blanc,,,2
https://www.autoscout24.fr/offres/ford-fiesta-1-0-scti-essence-gris-78a0cf5f-a8f2-4fa2-8cd3-b0f4b99e81b2,Ford Fiesta,1.0 SCTi,"€ 5 900,-",Berline,Occasion,5,5,,,194 000 km,06/2019,73 kW (99 CH),Boîte automatique,,Essence,,Gris,,Noir,3
https://www.autoscout24.fr/offres/volkswagen-touran-ii-1-6-tdi-105-fap-cup-diesel-gris-01652876-7598-4e5a-be6d-5efd7e16e61a,Volkswagen Touran,II 1.6 TDI 105 FAP Cup,"€ 8 990,-",Monospace,Occasion,5,5,,3 mois,170 900 km,11/2014,78 kW (106 CH),Boîte manuelle,,Diesel,121 g/km (mixte),GRIS C,,,5
https://www.autoscout24.fr/offres/citroen-c3-1-2-puretech-12v-82-confort-phase-2-essence-blanc-7c7972f4-7ebb-4820-8066-7740c3399894,Citroen C3,1.2 PureTech 12V - 82 Confort PHASE 2,"€ 5 090,-",Citadine,Occasion,,5,0891-0010707,,120 700 km,03/2016,60 kW (82 CH),Boîte manuelle,1 199 cm³,Essence,104 g/km (mixte),Blanc,,,6
https://www.autoscout24.fr/offres/bmw-118-118d-2-0-annee-11-2005-239-000km-ct-ok-a-2990-euro-diesel-blanc-c38b974a-0f37-4722-8381-cabaa7e4cd73,BMW 118,118d 2.0 année 11-2005 239.000KM CT OK à 2990 euro,"€ 2 990,-",Berline,Occasion,5,5,,,239 000 km,11/2005,90 kW (122 CH),Boîte manuelle,,Diesel,0 g/km (mixte),Blanc,,,7
https://www.autoscout24.fr/offres/bmw-118-118d-2-0-annee-11-2005-239-000km-ct-ok-a-2990-euro-diesel-blanc-c38b974a-0f37-4722-8381-cabaa7e4cd73,BMW 118,118d 2.0 année 11-2005 239.000KM CT OK à 2990 euro,"€ 2 990,-",Berline,Occasion,5,5,,,239 000 km,11/2005,90 kW (122 CH),Boîte manuelle,,Diesel,0 g/km (mixte),Blanc,,,8
https://www.autoscout24.fr/offres/volkswagen-tiguan-2-0-tdi-190ch-carat-4motion-dsg-diesel-gris-e46f78cc-e0ee-4bf2-b4a8-cdd825750eb2,Volkswagen Tiguan,2.0 TDI 190ch CARAT 4MOTION DSG,"€ 17 990,-",SUV/4x4/Pick-Up,Occasion,5,5,,,152 500 km,05/2017,140 kW (190 CH),Boîte automatique,,Diesel,0 g/km (mixte),Gris,,,9
https://www.autoscout24.fr/offres/peugeot-5008-generation-ii-1-5-bluehdi-130-ch-active-business-s-diesel-blanc-02481eb6-9ef8-4fe7-82ed-d29e093b447e,Peugeot 5008,GENERATION-II 1.5 BLUEHDI 130 CH ACTIVE BUSINESS S,"€ 12 989,-",SUV/4x4/Pick-Up,Occasion,255,5,,,127 000 km,01/2019,97 kW (132 CH),Boîte manuelle,,Diesel,0 g/km (mixte),Blanc,,,10
https://www.autoscout24.fr/offres/citroen-c5-citroen-ii-2-0-bluehdi-180ch-hydractive-millenium-diesel-bleu-a713d6ff-9df1-4cbb-8a7e-dcce7b269dbc,Citroen C5,Citroën II 2.0 BlueHDi 180ch Hydractive Millenium,"€ 9 990,-",Berline,Occasion,5,4,,3 mois,141 550 km,05/2016,134 kW (182 CH),Boîte automatique,,Diesel,114 g/km (mixte),BLEU,,,11
https://www.autoscout24.fr/offres/peugeot-208-1-2-100ch-allure-pack-essence-rouge-a71f31fc-e600-45e6-abfc-1ac5443a73c4,Peugeot 208,1.2 100CH ALLURE PACK,"€ 10 990,-",Citadine,Occasion,5,5,,,21 000 km,11/2022,74 kW (101 CH),Boîte manuelle,,Essence,0 g/km (mixte),Rouge,,,12
https://www.autoscout24.fr/offres/toyota-avensis-verso-115-d-4d-vx-7-places-diesel-ab2dc448-c561-4e2c-849c-dc83fd276552,Toyota Avensis Verso,115 D-4D VX 7 PLACES,"€ 4 400,-",Monospace,Occasion,7,5,13557,,250 214 km,03/2004,87 kW (118 CH),Boîte manuelle,1 995 cm³,Diesel,173 g/km (mixte),GRIS,Métallisé,Noir,13
https://www.autoscout24.fr/offres/citroen-c3-puretech-68-attraction-seconde-main-essence-blanc-48c0a015-0c26-4fdb-b672-d801217831a2,Citroen C3,PureTech 68 Attraction-SECONDE MAIN,"€ 4 990,-",Berline,Occasion,5,5,,,88 000 km,07/2015,51 kW (69 CH),Boîte manuelle,,Essence,0 g/km (mixte),Blanc,,,14
https://www.autoscout24.fr/offres/citroen-c3-puretech-68-attraction-seconde-main-essence-blanc-48c0a015-0c26-4fdb-b672-d801217831a2,Citroen C3,PureTech 68 Attraction-SECONDE MAIN,"€ 4 990,-",Berline,Occasion,5,5,,,88 000 km,07/2015,51 kW (69 CH),Boîte manuelle,,Essence,0 g/km (mixte),Blanc,,,15
